id,title,link,primary_topic,secondary_topic,confidence
9223,SMART Goals vs. Tasks: The Ultimate Guide to Effective Planning,https://www.synnovatia.com/smart-goals-vs-tasks-the-ultimate-guide-to-effective-planning/,Strategy & Planning,,high
9217,Unlock Your Business Growth: A Complete Guide to Planning,https://www.synnovatia.com/unlock-your-business-growth-a-complete-guide-to-planning/,Strategy & Planning,Growth & Scaling,high
9150,Strategic Thinking: The Ultimate Self-Care for Overwhelmed Entrepreneurs,https://www.synnovatia.com/strategic-thinking-self-care-for-overwhelmed-entrepreneurs/,Mindset & Resilience,Strategy & Planning,high
8857,How Systems Thinking Boosts Your Business Growth,https://www.synnovatia.com/how-systems-thinking-boosts-your-business-growth/,Growth & Scaling,Strategy & Planning,high
8843,Want Better Business Results? Avoid These 5 Things,https://www.synnovatia.com/want-better-business-results-avoid-these-5-things/,Strategy & Planning,Mindset & Resilience,medium
8752,Is it Time to Rethink Your Strategy?,https://www.synnovatia.com/is-it-time-to-rethink-your-strategy/,Strategy & Planning,,high
8616,7 Questions to Ask When Crafting Your Growth Plan,https://www.synnovatia.com/questions-for-growth-plan/,Growth & Scaling,Strategy & Planning,high
8606,Overcoming the 6 Most Common Hurdles Entrepreneurs Face When Growth Planning,https://www.synnovatia.com/overcoming-hurdles-entrepreneurs-face-when-growth-planning/,Growth & Scaling,Strategy & Planning,high
8562,What Makes the Middle so Messy for Entrepreneurs,https://www.synnovatia.com/the-messy-middle-for-entrepreneurs/,Ownership & Entrepreneurship,Growth & Scaling,high
3435,The Ultimate Cheat Sheet for the Stages of Business Growth,https://www.synnovatia.com/business-coaching-the-ultimate-cheat-sheet-for-the-stages-of-business-growth/,Growth & Scaling,,high
3298,Business Coaching Through the Stages of Business Growth,https://www.synnovatia.com/business-coaching-business-coaching-your-business-stages-of-business-growth/,Growth & Scaling,,high
3295,25 Life Lessons: Advice To My Younger Entrepreneurial Self,https://www.synnovatia.com/business-coaching-21-life-lessons-younger-business-coaching-self/,Ownership & Entrepreneurship,Mindset & Resilience,high
3341,Join a Mastermind Group? Here’s What You Need to Know.,https://www.synnovatia.com/business-coaching-join-a-mastermind-group-heres-what-you-need-to-know/,People & Partnerships,,high
3509,Strategic Thinking: Not A Small Business After-Hours Activity,https://www.synnovatia.com/business-coaching-bid-184081-strategic-thinking-not-a-small-business-after-hours-activity/,Strategy & Planning,,high
3413,6 Simple Ways to Strengthen Your Strategic Thinking Muscles,https://www.synnovatia.com/business-coaching-6-simple-ways-to-strengthen-your-strategic-thinking-muscles/,Strategy & Planning,,high
3351,"Magic Wands, Unicorns & Other Mythical Thinking of Entrepreneurs",https://www.synnovatia.com/business-coaching-magic-wands-unicorns-other-mythical-thinking-of-entrepreneurs/,Mindset & Resilience,Ownership & Entrepreneurship,medium
8077,Use Strategic Thinking to Shape Your Small Business Growth,https://www.synnovatia.com/strategic-thinking-shapes-your-small-business-growth/,Strategy & Planning,Growth & Scaling,high
3396,Should You Micro Niche Your Way to Business Growth?,https://www.synnovatia.com/business-coaching-micro-niche-your-way-to-business-growth/,Sales & Marketing,Growth & Scaling,medium
3283,Use This Strategic Approach in Your Business to Uncover Moments of Truth,https://www.synnovatia.com/business-coaching-bid-88076-uncover-the-moments-of-truth-in-your-business-with-a-strategic-coach/,Sales & Marketing,Strategy & Planning,medium
3515,Maneuvering the “Jargon Jungle” of Small Business Marketing,https://www.synnovatia.com/business-coaching-bid-183435-maneuvering-the-jargon-jungle-of-small-business-marketing/,Sales & Marketing,,high
3318,The Business-Changing Lessons of a Mastermind Group,https://www.synnovatia.com/business-coaching-mastermind-group-business-lessons/,People & Partnerships,,high
3390,Consider An Inbound Marketing Strategy for Business Growth,https://www.synnovatia.com/business-coaching-why-you-cant-wait-to-launch-your-inbound-marketing-strategy-for-business-growth/,Sales & Marketing,,high
3297,Become Your Own Business Coach to Master Self-Accountability,https://www.synnovatia.com/business-coaching-small-business-coaching-tips-accountability/,Mindset & Resilience,Ownership & Entrepreneurship,medium
3464,Know When to “Zip It” to Avoid Damage to Your Small Business Growth,https://www.synnovatia.com/business-coaching-know-when-to-zip-it-to-avoid-damage-to-your-small-business-growth/,People & Partnerships,Mindset & Resilience,medium
3533,Business Growth Strategies to Snap You Out of Your Funk,https://www.synnovatia.com/business-coaching-bid-182573-business-growth-strategies-to-snap-you-out-of-your-funk/,Mindset & Resilience,Growth & Scaling,high
3472,8 Ways to Plug into Your Personal Power for Business Growth,https://www.synnovatia.com/business-coaching-8-ways-to-plug-into-your-personal-power-grow-your-small-business/,Mindset & Resilience,Ownership & Entrepreneurship,medium
3348,Plagued by Uncertainty? Take Your Small Business BIG!,https://www.synnovatia.com/business-coaching-plagued-by-uncertainty-take-your-small-business-big/,Mindset & Resilience,Growth & Scaling,medium
3276,Strategic Thinking Shapes the Business Strategy and Future of Your Business,https://www.synnovatia.com/business-coaching-bid-147890-how-strategic-thinking-shapes-the-future-of-your-small-business/,Strategy & Planning,,high
3270,The Art of the Ask: How to Ask For and Get What You Want in Business,https://www.synnovatia.com/business-coaching-bid-151775-the-art-of-the-ask-how-to-ask-for-and-get-what-you-want-in-business/,People & Partnerships,Sales & Marketing,medium
3580,Do Small Business Opportunities Exist Despite the Incessant Pandemic?,https://www.synnovatia.com/business-coaching-bid-156892-10-ways-to-create-opportunities-for-your-small-business/,Mindset & Resilience,Growth & Scaling,medium
3798,The Sign That Launched My Entrepreneurial Outlook,https://www.synnovatia.com/business-coaching-bid-72434-don-t-have-time-to-do-things-right-the-first-time/,Ownership & Entrepreneurship,Mindset & Resilience,medium
3572,Plan the Work. Work the Plan. How to Create Time for Strategic Planning,https://www.synnovatia.com/business-coaching-bid-157210-plan-the-work-work-the-plan-how-to-create-time-for-strategic-planning/,Strategy & Planning,,high
3377,How to Use A Year End Assessment to Grow Your Business,https://www.synnovatia.com/business-coaching-how-to-use-a-year-end-assessment-to-achieve-business-growth/,Strategy & Planning,Growth & Scaling,high
3511,5 Myths About Strategic Thinking Slowing Your Business Growth,https://www.synnovatia.com/business-coaching-bid-184074-5-myths-about-strategic-thinking-slowing-your-small-business-growth/,Strategy & Planning,Growth & Scaling,high
3803,Oh No! An Invisible Gorilla is Slowing My Business Growth,https://www.synnovatia.com/business-coaching-bid-72525-strategic-coach-sees-the-invisible-gorilla-in-your-business-growth/,Mindset & Resilience,Growth & Scaling,medium
3280,The Blueprint for Strategic Business Growth for The Messy Middle,https://www.synnovatia.com/business-coaching-bid-141670-five-rates-to-guide-your-business-growth/,Strategy & Planning,Growth & Scaling,high
7737,The Entrepreneurs Strategy to Overcome Stalled Growth,https://www.synnovatia.com/the-entrepreneur-strategy-to-overcome-stalled-growth/,Growth & Scaling,Strategy & Planning,high
7636,"The Small Business Entrepreneurs Little Known, Extremely Effective, Source of Resilience",https://www.synnovatia.com/the-small-business-entrepreneurs-effective-source-of-resilience/,Mindset & Resilience,,high
3282,Small Business Goals: The Only Thing You Need to Know to Set & Achieve Them,https://www.synnovatia.com/business-coaching-set-achieve-small-business-goals/,Strategy & Planning,,high
7575,Insights on Goal Achievement: Shared Characteristics  of  Achievers,https://www.synnovatia.com/insights-goal-achievement-shared-characteristics-achievers-share/,Mindset & Resilience,Strategy & Planning,medium
7538,Is It Just Me? Or Does Business Sometimes Feel Like an MLM (Opinion),https://www.synnovatia.com/is-it-just-me-or-does-business-sometimes-feel-like-an-mlm-opinion/,Ownership & Entrepreneurship,,low
3605,Extreme Self Care: The Small Business Owners New Growth Strategy,https://www.synnovatia.com/business-coaching-bid-156049-the-small-business-owners-new-growth-strategy-extreme-self-care/,Mindset & Resilience,Growth & Scaling,high
3268,The Art of Building Business Relationships,https://www.synnovatia.com/business-coaching-bid-72465-the-art-of-building-business-relationships/,People & Partnerships,,high
3269,6 Quick Fixes for Small Business Owner Stress,https://www.synnovatia.com/business-coaching-performance-self-induced-stress-small-business-owner/,Mindset & Resilience,,high
3271,The Often Overlooked Strategy: Year End Celebration,https://www.synnovatia.com/business-coaching-bid-154298-the-often-overlooked-strategy-year-end-celebration/,Mindset & Resilience,Strategy & Planning,medium
3272,"Dare to Dream, Create, Play, and Shine Like the U.S. Women’s Soccer Team",https://www.synnovatia.com/business-coaching-dare-to-dream-create-play-and-shine-like-the-u-s-womens-soccer-team/,Mindset & Resilience,,medium
3273,How Can A Business Coach Help Defeat Caution And Improve Growth,https://www.synnovatia.com/business-coaching-bid-152399-is-caution-slowing-your-business-growth-how-business-coach-overcomes-caution-speeds-up-the-pace/,Mindset & Resilience,Growth & Scaling,medium
3274,Stuck? 7 Reasons Why Your Small Business Is Not Growing. Fixes Included.,https://www.synnovatia.com/business-coaching-bid-157951-stuck-7-reasons-why-your-small-business-is-not-growing/,Growth & Scaling,,high
3275,4 Types of Business Strategies to Fast Forward Your Growth,https://www.synnovatia.com/business-coaching-bid-127523-4-strategies-to-fast-forward-your-small-business-growth/,Strategy & Planning,Growth & Scaling,high
3277,10 Reasons Entrepreneurs Achieve Greater Coaching Success Than Others,https://www.synnovatia.com/business-coaching-10-reasons-entrepreneurs-achieve-greater-coaching-success-than-others/,Ownership & Entrepreneurship,Mindset & Resilience,medium
3278,10 Common Business Growing Pains Overcome in a Mastermind Group,https://www.synnovatia.com/business-coaching-10-business-growing-pains-overcome-in-a-mastermind-group/,People & Partnerships,Growth & Scaling,high
3279,The Power of a Business Assessment on Your Business Goals,https://www.synnovatia.com/business-coaching-bid-144513-the-power-of-a-business-assessment-on-your-business-goals/,Strategy & Planning,,high
3281,The Benefits of Strategic Coaching to Manage Change,https://www.synnovatia.com/business-coaching-bid-72424-strategic-coaching-to-manage-change-and-stay-the-course/,Strategy & Planning,Mindset & Resilience,medium
3285,The Business Strategy of Network Effect & Its Impact on Your Ability to Scale Your Small Business,https://www.synnovatia.com/business-coaching-the-business-strategy-of-network-effect-its-impact-on-your-ability-to-scale-your-small-business/,Growth & Scaling,Strategy & Planning,high
3286,Solidify Your Business Network Immediately Using This Little Known Business Strategy,https://www.synnovatia.com/business-coaching-solidify-your-business-network-immediately-using-this-little-known-business-strategy/,People & Partnerships,Strategy & Planning,medium
3287,6 Vital Skills Small Business Owners Need to Master,https://www.synnovatia.com/business-coaching-bid-156931-6-vital-skills-small-business-owners-need-to-master/,Ownership & Entrepreneurship,Strategy & Planning,medium
3288,Avoid Making This Everyday Mistake with Your Business Strategy When Growing Your Small Business,https://www.synnovatia.com/business-coaching-avoid-this-business-strategy-mistake-in-your-small-business/,Strategy & Planning,Growth & Scaling,high
3289,What Coaching Expertise is Best When You’re Making a Big Improvement: Life Coach or Business Coach,https://www.synnovatia.com/business-coaching-best-expertise-life-coach-vs-business-coach/,Ownership & Entrepreneurship,,medium
3290,Want to Boost Your Small Business Performance? Take These  Coaching Tips For a Spin,https://www.synnovatia.com/business-coaching-small-business-coaching-for-business-performance/,Strategy & Planning,Mindset & Resilience,medium
3291,The Small Business Coach’s Guide to Meaningful Work: The Golden Thread,https://www.synnovatia.com/business-coaching-small-business-coach-meaningful-work-guide/,Ownership & Entrepreneurship,,medium
3292,Buyer Beware:  How to Avoid the Bad Actors of Business Coaching,https://www.synnovatia.com/business-coaching-business-coaching-buyer-beware/,Ownership & Entrepreneurship,Mindset & Resilience,medium
3293,Need Some Guidance Selecting Your Business Strategy? Consider These Six Simple Steps.,https://www.synnovatia.com/business-coaching-guidance-selecting-business-strategy/,Strategy & Planning,,high
3296,The Business Strategy to Breakthrough to Success,https://www.synnovatia.com/business-coaching-the-breakthrough-business-strategy/,Strategy & Planning,Growth & Scaling,high
3299,The Best Kind of Business Strategy: Progress,https://www.synnovatia.com/business-coaching-business-strategy-progress/,Strategy & Planning,Mindset & Resilience,medium
3300,The Unsuspecting Business Strategy That Beats Entrepreneurial Overwhelm,https://www.synnovatia.com/business-coaching-business-strategy-beats-overwhelm/,Mindset & Resilience,Strategy & Planning,high
3301,Four Problems You Can Solve With an Innovative Business Strategy,https://www.synnovatia.com/business-coaching-innovative-business-strategy-solves-problems/,Strategy & Planning,,high
3302,Branding: What It Is and Why It Is Important (Guest Post),https://www.synnovatia.com/business-coaching-branding-what-it-is-and-why-it-is-important-guest-post/,Sales & Marketing,,high
3303,5 Ways For Entrepreneurs To Ditch Pointless Overwhelm,https://www.synnovatia.com/business-coaching-ditch-overwhelm-for-entrepreneurs/,Mindset & Resilience,,high
3304,Tools to Navigate An Evolving Small Business Environment,https://www.synnovatia.com/business-coaching-tools-to-navigate-evolving-small-business-environment/,Strategy & Planning,,medium
3305,The Importance of Environment to Growing a Business,https://www.synnovatia.com/business-coaching-the-importance-of-environment-to-business-growth/,Growth & Scaling,Mindset & Resilience,medium
3306,How to Stack the Deck in Your Favor When Shaping an Advisory Board,https://www.synnovatia.com/business-coaching-small-business-advisory-board-setup/,People & Partnerships,,high
3307,Is an Advisory Board in Your Small Business Future?,https://www.synnovatia.com/business-coaching-small-business-advisory-board/,People & Partnerships,,high
3310,What Everyone is Saying About the Importance of a Business Strategy,https://www.synnovatia.com/business-coaching-importance-of-business-strategy/,Strategy & Planning,,high
3311,8 Questions to Scrutinize Your Business Strategy  (Like a Boss),https://www.synnovatia.com/business-coaching-test-your-business-strategy/,Strategy & Planning,,high
3312,"The Most Overworked, Underutilized Business Growth Strategy: Imagination",https://www.synnovatia.com/business-coaching-business-growth-strategy-imagination/,Strategy & Planning,Mindset & Resilience,medium
3313,5 Key Factors in Determining Your Business Strategy for Growth,https://www.synnovatia.com/business-coaching-5-key-factors-determining-business-strategy/,Strategy & Planning,Growth & Scaling,high
3314,10 Ways Your Mind Sabotages Your Business Strategy…And How to Fix It,https://www.synnovatia.com/business-coaching-10-ways-business-strategy-is-sabotaged/,Mindset & Resilience,Strategy & Planning,high
3315,The Business Strategy Realization Requirement: Time,https://www.synnovatia.com/business-coaching-the-business-strategy-realization-requirement/,Strategy & Planning,,high
3316,The Best Kind of Business Strategist for Your Business Growth,https://www.synnovatia.com/business-coaching-business-strategist-for-business-growth/,Growth & Scaling,Strategy & Planning,medium
3317,5 Things Your Business Strategist Wants You to Avoid,https://www.synnovatia.com/business-coaching-5-things-your-business-strategist-wants-you-to-avoid/,Strategy & Planning,,medium
3319,The Entrepreneurs Guide to Reaching the Summit,https://www.synnovatia.com/business-coaching-performance-the-entrepreneurs-summit-guide/,Ownership & Entrepreneurship,Mindset & Resilience,medium
3320,The Small Business Owners Guide to What to Do When,https://www.synnovatia.com/business-coaching-small-business-owners-guide-to-what-to-do-when/,Strategy & Planning,Mindset & Resilience,medium
3321,Are You a Fit Entrepreneur?,https://www.synnovatia.com/business-coaching-performance-fit-entrepreneur/,Ownership & Entrepreneurship,,medium
3322,Are You Ready for the Risk of a Small Business Startup?,https://www.synnovatia.com/business-coaching-small-business-startup-risk/,Ownership & Entrepreneurship,Strategy & Planning,medium
3323,Choosing The Hustle” Means Business Startup Success”,https://www.synnovatia.com/business-coaching-business-startup/,Ownership & Entrepreneurship,Mindset & Resilience,medium
3324,An Alternative Approach to Achieving Work-Life Balance for Small Business Owners,https://www.synnovatia.com/business-coaching-work-life-balance-small-business-owners/,Mindset & Resilience,,high
3325,Changing the Path of Productivity for Small Business Owners,https://www.synnovatia.com/business-coaching-small-business-owner-productivity/,Strategy & Planning,Mindset & Resilience,medium
3326,The Purpose and the Power of Being in Process,https://www.synnovatia.com/business-coaching-small-business-process/,Mindset & Resilience,Strategy & Planning,medium
3327,The Small Business Owners Quickest Route to Success,https://www.synnovatia.com/business-coaching-small-business-success/,Strategy & Planning,,medium
3328,Two Words That Kill Small Business Success,https://www.synnovatia.com/business-coaching-two-words-that-kill-small-business-success/,Mindset & Resilience,Strategy & Planning,medium
3329,Do You Suffer From Goal Fatigue in Your Small Business?,https://www.synnovatia.com/business-coaching-goal-fatigue-in-your-small-business/,Mindset & Resilience,Strategy & Planning,medium
3330,On Certainty,https://www.synnovatia.com/business-coaching-small-business-certainty/,Mindset & Resilience,Strategy & Planning,medium
3331,How to Nudge a Nagging Project,https://www.synnovatia.com/business-coaching-how-to-nudge-a-nagging-project/,Strategy & Planning,Mindset & Resilience,medium
3332,The Small Business Vision: Why It Matters More Than (Fill in the Blank),https://www.synnovatia.com/business-coaching-small-business-vision-why-it-matters/,Strategy & Planning,Ownership & Entrepreneurship,medium
3333,How to Maximize  Results From Business Coaching,https://www.synnovatia.com/business-coaching-how-to-maximize-your-business-coaching-results/,Ownership & Entrepreneurship,,medium
3334,Work-Life Balance: Reality or Fantasy for Small Business Owners,https://www.synnovatia.com/business-coaching-work-life-balance-reality-or-fantasy-for-small-business-owners/,Mindset & Resilience,,high
3335,The Small Business Owners’ Secret Weapon,https://www.synnovatia.com/business-coaching-small-business-owners-secret-weapon/,Strategy & Planning,,medium
3336,When The Entrepreneur’s Engine Floods,https://www.synnovatia.com/business-coaching-entrepreneurs-engine-floods/,Mindset & Resilience,,medium
3337,The Conversation Every Small Business Owner Wants,https://www.synnovatia.com/business-coaching-small-business-owner-commitment/,People & Partnerships,Mindset & Resilience,medium
3338,The Entrepreneurs Vision to Believe In,https://www.synnovatia.com/business-coaching-entrepreneurs-vision-believe/,Ownership & Entrepreneurship,Mindset & Resilience,medium
3339,It’s Time to Reinvent the Entrepreneurs To-Do List,https://www.synnovatia.com/business-coaching-its-time-to-reinvent-the-entrepreneurs-to-do-list/,Strategy & Planning,,medium
3340,The Capacity to Excel: How Entrepreneurs Succeed On Purpose,https://www.synnovatia.com/business-coaching-capacity-to-excel-how-entrepreneurs-succeed-on-purpose/,Ownership & Entrepreneurship,Mindset & Resilience,medium
3342,Where No One Dares to Go: Inside The Mind of a Business Coach,https://www.synnovatia.com/business-coaching-inside-the-mind-of-a-business-coach/,Ownership & Entrepreneurship,,medium
3343,Release Your Inner Franklin: 4 Tips to Develop a Lifelong Learning Strategy,https://www.synnovatia.com/business-coaching-release-your-inner-franklin-4-tips-to-develop-a-lifelong-learning-strategy/,Strategy & Planning,Mindset & Resilience,medium
3344,How Do Your Clients Describe Your Customer Service Experience?,https://www.synnovatia.com/business-coaching-small-business-customer-service-experience/,Sales & Marketing,,high
3345,What You Need to Know About Small Business Automation,https://www.synnovatia.com/business-coaching-what-you-need-to-know-about-small-business-automation/,Strategy & Planning,Growth & Scaling,medium
3347,How to Make the Most of New Technology Trends,https://www.synnovatia.com/business-coaching-how-to-make-the-most-of-new-technology-trends/,Strategy & Planning,,medium
3349,Don’t Fail Because Your Small Business Lacks Accountability!,https://www.synnovatia.com/business-coaching-dont-fail-because-your-small-business-lacks-accountability/,Mindset & Resilience,Strategy & Planning,medium
3350,The One Thing Holding Back Most Small Businesses,https://www.synnovatia.com/business-coaching-the-one-thing-holding-back-most-small-businesses/,Growth & Scaling,Strategy & Planning,medium
3352,5 Ways to Overcome the Agonizing Discomfort of Entrepreneurship,https://www.synnovatia.com/business-coaching-5-ways-to-overcome-the-agonizing-discomfort-of-entrepreneurship/,Mindset & Resilience,,high
3353,The Small Business Benefits of a Disciplined “No”,https://www.synnovatia.com/business-coaching-the-small-business-benefits-of-a-disciplined-no/,Mindset & Resilience,Strategy & Planning,medium
3354,In The Absence of a Destination for Your Small Business…,https://www.synnovatia.com/business-coaching-in-the-absence-of-a-destination-for-your-small-business/,Strategy & Planning,,medium
3355,The Most Overlooked Key Performance Indicator for Entrepreneurs,https://www.synnovatia.com/business-coaching-the-most-overlooked-key-performance-indicator-for-entrepreneurs/,Strategy & Planning,,medium
3356,Business Skills You Can Learn From Playing Hay Day,https://www.synnovatia.com/business-coaching-business-skills-you-can-learn-from-playing-hay-day/,Mindset & Resilience,Growth & Scaling,low
3357,The One Cutback Every Small Business Owner Needs,https://www.synnovatia.com/business-coaching-the-one-cutback-every-small-business-owner-needs/,Mindset & Resilience,,high
3358,The Four Necessities of Business Coaching for Small Business,https://www.synnovatia.com/business-coaching-necessities-of-business-coaching-for-small-business/,Ownership & Entrepreneurship,,medium
3359,6 Ways Good Documentation Can Save Your Small Business Money,https://www.synnovatia.com/business-coaching-6-ways-good-documentation-can-save-your-small-business-money/,Strategy & Planning,,medium
3360,"Dear Diary: I’m a Frustrated, Overwhelmed Business Owner. Now What?",https://www.synnovatia.com/business-coaching-dear-diary-im-a-frustrated-overwhelmed-business-owner-now-what/,Mindset & Resilience,,high
3361,5 Reasons Your Small Business Should Have an Employment Application,https://www.synnovatia.com/business-coaching-5-reasons-your-small-business-should-have-an-employment-application/,People & Partnerships,,high
3362,10 Ways to Prevent Office Fever: A Business Coach’s Tutorial,https://www.synnovatia.com/business-coaching-10-ways-to-prevent-office-fever-a-business-coachs-tutorial/,Mindset & Resilience,,medium
3363,Where Will Your Best Employee Be 1 Year From Now?,https://www.synnovatia.com/business-coaching-where-will-your-best-employee-be-1-year-from-now/,People & Partnerships,,high
3364,Successful Entrepreneurs Give Us a Look Inside Their Minds,https://www.synnovatia.com/business-coaching-inside-the-mind-of-entrepreneur/,Ownership & Entrepreneurship,,medium
3365,Here’s How to Really Inspire Your Small Business Success!,https://www.synnovatia.com/business-coaching-small-business-dream-inspiration/,Mindset & Resilience,,medium
3366,Four Ways HR Solutions Gives Your Business a Boost,https://www.synnovatia.com/business-coaching-four-ways-hr-solutions-gives-your-business-a-boost/,People & Partnerships,,high
3367,The Most-Loved Downloads For Small Business Owners in 2015,https://www.synnovatia.com/business-coaching-the-most-loved-downloads-for-small-business-owners-in-2015/,Strategy & Planning,,low
3368,Reading List Reveals The Small Business Owners Interest in 2015,https://www.synnovatia.com/business-coaching-actions-small-business-owner-in-2015/,Strategy & Planning,,low
3369,Want To Make Your Small Business More Valuable? Consider This!,https://www.synnovatia.com/business-coaching-make-your-small-business-more-valuable/,Growth & Scaling,,medium
3370,Trigger Business Growth By Coming Out Of The Closet,https://www.synnovatia.com/business-coaching-trigger-business-growth-come-out-of-closet/,Growth & Scaling,Mindset & Resilience,medium
3371,4 Ways Workplace Giving/Volunteering Can Drive Employee Engagement,https://www.synnovatia.com/business-coaching-4-ways-workplace-giving-volunteering-can-drive-employee-engagement/,People & Partnerships,,high
3372,How to Shape Sales to Spark Business Growth,https://www.synnovatia.com/business-coaching-are-you-selling-in-a-way-that-sparks-business-growth/,Sales & Marketing,,high
3373,5 Consequences to Business Growth When Performance Dives,https://www.synnovatia.com/business-coaching-5-consequences-to-business-growth-when-performance-dives/,Growth & Scaling,,high
3374,Gratitude’s 10 Proven Results on Business Growth,https://www.synnovatia.com/business-coaching-gratitudes-10-proven-results-on-business-growth/,Mindset & Resilience,Growth & Scaling,medium
3375,Can Technology Improve HR Results and Impact The Bottom Line?,https://www.synnovatia.com/business-coaching-can-technology-improve-hr-results-and-impact-the-bottom-line/,People & Partnerships,,high
3376,5 Employment Laws All Small Businesses Should Know,https://www.synnovatia.com/business-coaching-5-employment-laws-all-small-businesses-should-know/,People & Partnerships,,high
3378,Advice for Small Business Owners: Give Your Brain a Break!,https://www.synnovatia.com/business-coaching-advice-for-small-business-owner-give-your-brain-a-break/,Mindset & Resilience,,high
3379,How Using HR WebForms Can Save Your Small Business Time and Money,https://www.synnovatia.com/business-coaching-how-using-hr-webforms-can-save-your-small-business-time-and-money/,People & Partnerships,,high
3380,5 Ways Technology Drives Small Business Growth,https://www.synnovatia.com/business-coaching-5-ways-technology-drives-small-business-growth/,Growth & Scaling,,high
3381,A Small Business Owner’s Unexpected Guide to Time & Goals,https://www.synnovatia.com/business-coaching-small-business-owner-guide-time-goals/,Strategy & Planning,,medium
3382,Are Today’s Small Businesses Stuck with Employees Who Have Yesterday’s Skills?,https://www.synnovatia.com/business-coaching-are-todays-small-businesses-stuck-with-employees-who-have-yesterdays-skills/,People & Partnerships,,high
3383,4 Unorthodox Tools to Energize Your Business Growth,https://www.synnovatia.com/business-coaching-tools-for-business-growth/,Growth & Scaling,,medium
3384,Beware! 13 of the Best Lies Told by Job Candidates,https://www.synnovatia.com/business-coaching-beware-13-of-the-best-lies-told-by-job-candidates/,People & Partnerships,,high
3385,How My 10 Year-Old Nephew Became My Business Coach,https://www.synnovatia.com/business-coaching-how-my-10-year-old-nephew-became-my-business-coach/,Ownership & Entrepreneurship,Mindset & Resilience,low
3386,How to Kill a Deal with a Potential Business Partner,https://www.synnovatia.com/business-coaching-art-of-deal-with-business-partners/,People & Partnerships,,high
3387,5 HR Solutions for Recognizing Employees That Won’t Break The Bank,https://www.synnovatia.com/business-coaching-5-hr-solutions-for-recognizing-employees-that-won-t-break-the-bank/,People & Partnerships,,high
3388,Connect Your Way to Business Growth Through Social Media,https://www.synnovatia.com/business-coaching-connect-your-way-to-business-growth-through-social-media/,Sales & Marketing,,high
