id,title,link,primary_topic,secondary_topic,confidence
3601,Clean Your Plate! Things Your Mom Taught You About Small Business,https://www.synnovatia.com/business-coaching-bid-156209-clean-your-plate-things-your-mom-taught-you-about-small-business/,Mindset & Resilience,,low
3602,3 Common Beliefs Others Have About Your Home-Based Business,https://www.synnovatia.com/business-coaching-bid-156188-3-common-beliefs-others-have-about-your-home-based-business/,Ownership & Entrepreneurship,,low
3641,Got a Boat to Burn in Your Small Business? I’ve Got a Match!,https://www.synnovatia.com/business-coaching-bid-150115-got-a-boat-to-burn-in-your-small-business-i-ve-got-a-match/,Mindset & Resilience,,low
3642,The Icing on the Cake for Your Small Business,https://www.synnovatia.com/business-coaching-bid-149794-the-icing-on-the-cake-for-your-small-business/,Sales & Marketing,Strategy & Planning,low
3669,Is Your Small Business a Hollow Chocolate Easter Bunny?,https://www.synnovatia.com/business-coaching-bid-120516-is-your-small-business-a-hollow-chocolate-easter-bunny/,Growth & Scaling,Strategy & Planning,low
3689,7 Topics Entrepreneurs Want to Learn About,https://www.synnovatia.com/business-coaching-bid-141123-7-topics-entrepreneurs-want-to-learn-about/,Ownership & Entrepreneurship,,low
3693,6 Lessons Entrepreneurs Can Learn from Ron Johnson (Who’s Ron?),https://www.synnovatia.com/business-coaching-bid-138608-6-lessons-entrepreneurs-can-learn-from-ron-johnson-who-s-ron/,Ownership & Entrepreneurship,,low
3700,Entrepreneurs Use Improv to Improve Business Skills,https://www.synnovatia.com/business-coaching-bid-136723-entrepreneurs-use-improv-to-improve-business-skills/,Mindset & Resilience,Strategy & Planning,low
3703,An Entrepreneur’s Etch-A-Sketch Moment,https://www.synnovatia.com/business-coaching-bid-135964-an-entrepreneur-s-etch-a-sketch-moment/,Mindset & Resilience,Strategy & Planning,low
3714,The Dirty Little Secret Most Entrepreneurs Won’t Admit,https://www.synnovatia.com/business-coaching-bid-133775-the-dirty-little-secret-most-entrepreneurs-won-t-admit/,Growth & Scaling,,low
3717,The New Killer Email App for Entrepreneurs: YOU,https://www.synnovatia.com/business-coaching-bid-133366-the-new-killer-email-app-for-entrepreneurs-you/,Strategy & Planning,Mindset & Resilience,low
3718,Is Your Business Ready to Deliver?,https://www.synnovatia.com/business-coaching-bid-132990-is-your-business-ready-to-deliver/,Growth & Scaling,,low
3720,Are Flies” Gumming Up Your Business Growth?”,https://www.synnovatia.com/business-coaching-bid-132741-are-flies-gumming-up-your-business-growth/,Growth & Scaling,Strategy & Planning,low
3736,4 Things Entrepreneurs Can Learn from Howard Stern,https://www.synnovatia.com/business-coaching-bid-127339-4-things-entrepreneurs-can-learn-from-howard-stern/,Ownership & Entrepreneurship,,low
3738,Small Business Week Celebrates the Heart and Soul of the Economy,https://www.synnovatia.com/business-coaching-bid-126514-small-business-week-celebrates-the-heart-and-soul-of-the-economy/,Ownership & Entrepreneurship,,low
3774,The Essential To-Do List for First-Time Entrepreneurs,https://www.synnovatia.com/business-coaching-bid-85259-the-essential-to-do-list-for-first-time-entrepreneurs/,Strategy & Planning,,low
3775,Top Ten Things Entrepreneurs Can Learn from Women’s Soccer,https://www.synnovatia.com/business-coaching-bid-85192-top-ten-things-entrepreneurs-can-learn-from-women-s-soccer/,Mindset & Resilience,,low
3779,The Skill of Business,https://www.synnovatia.com/business-coaching-bid-72497-the-skill-of-business/,Ownership & Entrepreneurship,,low
3785,Yes You Can!,https://www.synnovatia.com/business-coaching-bid-72414-yes-you-can/,Mindset & Resilience,,low
3791,To Do or You Do?,https://www.synnovatia.com/business-coaching-bid-72504-to-do-or-you-do/,Strategy & Planning,,low
3796,Microenterprise Gets Access to Microloans,https://www.synnovatia.com/business-coaching-bid-72494-microenterprise-gets-access-to-microloans/,Strategy & Planning,,low
3799,Do You Need Disability Income Protection?,https://www.synnovatia.com/business-coaching-bid-72458-do-you-need-disability-income-protection/,Strategy & Planning,,low
3806,Alice in Wonderland Uses Strategic Coaching to Slay Jabberwocky,https://www.synnovatia.com/business-coaching-bid-72533-alice-in-wonderland-uses-strategic-coaching-to-slay-jabberwocky/,Ownership & Entrepreneurship,,low
3807,Plug In: Technology in Business,https://www.synnovatia.com/business-coaching-bid-72517-plug-in-technology-in-business/,Strategy & Planning,,low
