category_slug,old_category_link,wp_post_count,algorithmic_top_topic,vote_breakdown,resolved_topic,resolved_topic_link,resolution_method
best-practices-business-growth,https://www.synnovatia.com/category/best-practices-business-growth/,2,People & Partnerships,"{""People & Partnerships"": 1, ""Sales & Marketing"": 1}",Sales & Marketing,https://synnovatiacom.stage.site/topic/sales-marketing/,slug-wording tie-break
best-practices-performance,https://www.synnovatia.com/category/best-practices-performance/,2,Strategy & Planning,"{""Strategy & Planning"": 1, ""Ownership & Entrepreneurship"": 1}",Strategy & Planning,https://synnovatiacom.stage.site/topic/strategy-planning/,slug-wording tie-break
small-business-success,https://www.synnovatia.com/category/small-business-success/,2,Mindset & Resilience,"{""Mindset & Resilience"": 1, ""Growth & Scaling"": 1}",Growth & Scaling,https://synnovatiacom.stage.site/topic/growth-scaling/,slug-wording tie-break
business-vision,https://www.synnovatia.com/category/business-vision/,2,Strategy & Planning,"{""Strategy & Planning"": 1, ""Ownership & Entrepreneurship"": 1}",Strategy & Planning,https://synnovatiacom.stage.site/topic/strategy-planning/,slug-wording tie-break
strategic-business-coaching,https://www.synnovatia.com/category/strategic-business-coaching/,2,Ownership & Entrepreneurship,"{""Ownership & Entrepreneurship"": 1, ""Mindset & Resilience"": 1}",Ownership & Entrepreneurship,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,slug-wording tie-break
small-business-growth-small-business-success,https://www.synnovatia.com/category/small-business-growth-small-business-success/,2,Strategy & Planning,"{""Strategy & Planning"": 1, ""Growth & Scaling"": 1}",Growth & Scaling,https://synnovatiacom.stage.site/topic/growth-scaling/,slug-wording tie-break
small-business-growth-performance,https://www.synnovatia.com/category/small-business-growth-performance/,2,Mindset & Resilience,"{""Mindset & Resilience"": 1, ""Growth & Scaling"": 1}",Growth & Scaling,https://synnovatiacom.stage.site/topic/growth-scaling/,slug-wording tie-break
sales-client-acquisition-marketing,https://www.synnovatia.com/category/sales-client-acquisition-marketing/,2,Sales & Marketing,"{""Sales & Marketing"": 1, ""People & Partnerships"": 1}",Sales & Marketing,https://synnovatiacom.stage.site/topic/sales-marketing/,slug-wording tie-break
small-business-growth-small-business-success-growth-advisor,https://www.synnovatia.com/category/small-business-growth-small-business-success-growth-advisor/,2,Growth & Scaling,"{""Growth & Scaling"": 1, ""People & Partnerships"": 1}",Growth & Scaling,https://synnovatiacom.stage.site/topic/growth-scaling/,slug-wording tie-break
small-business-growth-small-business-success-motivation,https://www.synnovatia.com/category/small-business-growth-small-business-success-motivation/,2,Growth & Scaling,"{""Growth & Scaling"": 1, ""Mindset & Resilience"": 1}",Growth & Scaling,https://synnovatiacom.stage.site/topic/growth-scaling/,slug-wording tie-break
small-business-success-entrepreneurship-success-psychology,https://www.synnovatia.com/category/small-business-success-entrepreneurship-success-psychology/,2,Mindset & Resilience,"{""Mindset & Resilience"": 1, ""Strategy & Planning"": 1}",Mindset & Resilience,https://synnovatiacom.stage.site/topic/mindset-resilience/,slug-wording tie-break
productivity-growth-strategies-performance,https://www.synnovatia.com/category/productivity-growth-strategies-performance/,2,Strategy & Planning,"{""Strategy & Planning"": 1, ""Mindset & Resilience"": 1}",Strategy & Planning,https://synnovatiacom.stage.site/topic/strategy-planning/,slug-wording tie-break
productivity-performance-motivation,https://www.synnovatia.com/category/productivity-performance-motivation/,2,People & Partnerships,"{""People & Partnerships"": 1, ""Mindset & Resilience"": 1}",Mindset & Resilience,https://synnovatiacom.stage.site/topic/mindset-resilience/,slug-wording tie-break
best-practices-business-planning,https://www.synnovatia.com/category/best-practices-business-planning/,2,Ownership & Entrepreneurship,"{""Ownership & Entrepreneurship"": 1, ""Strategy & Planning"": 1}",Strategy & Planning,https://synnovatiacom.stage.site/topic/strategy-planning/,slug-wording tie-break
performance-strategic-coaching,https://www.synnovatia.com/category/performance-strategic-coaching/,2,Growth & Scaling,"{""Growth & Scaling"": 1, ""Ownership & Entrepreneurship"": 1}",Ownership & Entrepreneurship,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,slug-wording tie-break
best-practices-strategic-coaching,https://www.synnovatia.com/category/best-practices-strategic-coaching/,2,Ownership & Entrepreneurship,"{""Ownership & Entrepreneurship"": 1, ""Strategy & Planning"": 1}",Ownership & Entrepreneurship,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,slug-wording tie-break
