post_label,post_url,publish_date,day_of_week,engagements,impressions,first_seen_export,last_updated_export,export_period_start,export_period_end
Most advisors specialize in one lane,https://www.linkedin.com/posts/synnovatia_askingforafriend-share-7492720396090134528-14qY,2026-08-17,Monday,,16,2026-08-28,2026-08-28,2026-08-22,2026-08-28
Has this ever happened to you (service list consolidation),https://www.linkedin.com/posts/synnovatia_has-this-ever-happened-to-you-you-spend-share-7490052794922553344-O2AB,2026-08-14,Friday,,5,2026-08-28,2026-08-28,2026-08-22,2026-08-28
27 years of consulting,https://www.linkedin.com/posts/synnovatia_in-27-years-of-consulting-across-industries-share-7487543440814256129-37Te,2026-08-03,Monday,,4,2026-08-28,2026-08-28,2026-08-22,2026-08-28
Client raised rates 30%,https://www.linkedin.com/posts/synnovatia_a-client-raised-her-rates-30-certain-shed-share-7485096718544289792-dWWc,2026-07-31,Friday,,2,2026-08-28,2026-08-28,2026-08-22,2026-08-28
25 years cross-industry,https://www.linkedin.com/posts/synnovatia_in-25-years-of-cross-industry-consulting-share-7485096161427693569-GoYy,2026-07-27,Monday,,2,2026-08-28,2026-08-28,2026-08-22,2026-08-28
Client turned away 13%,https://www.linkedin.com/posts/synnovatia_recently-a-client-turned-away-13-of-the-share-7487543950329733120-cE6g,2026-08-07,Friday,,2,2026-08-28,2026-08-28,2026-08-22,2026-08-28
Mastermind for the Messy Middle post,https://www.linkedin.com/posts/synnovatia_a-member-of-the-mastermind-for-the-messy-share-7485096464973582336-r47C,2026-07-29,Wednesday,,2,2026-08-28,2026-08-28,2026-08-22,2026-08-28
Every leadership book says delegate,https://www.linkedin.com/posts/synnovatia_every-leadership-book-says-delegate-most-share-7490050940906094594-yHDp,2026-08-10,Monday,,1,2026-08-28,2026-08-28,2026-08-22,2026-08-28
Recently I had a prospective client ask,https://www.linkedin.com/posts/synnovatia_recently-i-had-a-prospective-client-ask-share-7498012576249860097-TgvQ,2026-09-02,Wednesday,11,104,2026-09-04,2026-09-04,2026-08-29,2026-09-04
AI is everywhere almost these days I use,https://www.linkedin.com/posts/synnovatia_ai-is-everywhere-almost-these-days-i-use-share-7498012433471594497-NqpZ,2026-08-31,Monday,5,112,2026-09-04,2026-09-04,2026-08-29,2026-09-04
I've noticed people creating their contracts,https://www.linkedin.com/posts/synnovatia_ive-noticed-people-creating-their-contracts-share-7495186370122895360-p_Va,2026-08-26,Wednesday,5,73,2026-09-04,2026-09-04,2026-08-29,2026-09-04
I recently listened to a podcast episode,https://www.linkedin.com/posts/synnovatia_i-recently-listened-to-a-podcast-episode-share-7495187170312347648-fIeL,2026-08-28,Friday,2,64,2026-09-04,2026-09-04,2026-08-29,2026-09-04
Ghosts of Sicily (pre-cadence),https://www.linkedin.com/posts/synnovatia_ghostsofsicily-ghostsofhonolulu-ncis-share-7449842641036279809-K1uI,2026-04-14,Tuesday,,4,2026-09-04,2026-09-04,2026-08-29,2026-09-04
I came across an interesting stat this week,https://www.linkedin.com/posts/synnovatia_i-came-across-an-interesting-stat-this-week-share-7498012797503639552-Bpi_,2026-09-04,Friday,,4,2026-09-04,2026-09-04,2026-08-29,2026-09-04
Has this ever happened to you (you know exactly),https://www.linkedin.com/posts/synnovatia_has-this-ever-happened-to-you-you-know-exactly-share-7492720846827069440-Y4v5,2026-08-21,Friday,,4,2026-09-04,2026-09-04,2026-08-29,2026-09-04
"When you're overwhelmed, the advice is always",https://www.linkedin.com/posts/synnovatia_when-youre-overwhelmed-the-advice-is-always-share-7495186176992104448-AjWD,2026-08-24,Monday,,3,2026-09-04,2026-09-04,2026-08-29,2026-09-04
askingforafriend #2,https://www.linkedin.com/posts/synnovatia_askingforafriend-share-7492720561568260096-CbpP,2026-08-19,Wednesday,,3,2026-09-04,2026-09-04,2026-08-29,2026-09-04
I'm so proud of my husband Leon Carroll (personal),https://www.linkedin.com/posts/synnovatia_im-so-proud-of-my-husband-leon-carroll-share-7128780273659379713-rvs7,2023-11-10,Friday,,2,2026-09-04,2026-09-04,2026-08-29,2026-09-04
27 years of consulting,https://www.linkedin.com/posts/synnovatia_in-27-years-of-consulting-across-industries-share-7487543440814256129-37Te,2026-08-03,Monday,,1,2026-09-04,2026-09-04,2026-08-29,2026-09-04
Some men climb Everest (pre-cadence),https://www.linkedin.com/posts/synnovatia_some-men-climb-everest-some-run-marathons-share-7444504055235837955-3h3L,2026-03-30,Monday,,1,2026-09-04,2026-09-04,2026-08-29,2026-09-04
I'm back in school,https://www.linkedin.com/posts/synnovatia_im-back-in-school-now-working-toward-a-share-7487543673870503936-xI4D,2026-08-05,Wednesday,,1,2026-09-04,2026-09-04,2026-08-29,2026-09-04
