date,activity_type,duration_min,avg_hr,avg_hrv,mets,exertion_rpe,note
2026-08-28,Walk,44,102,not captured,68,,"1.58 miles, computes to ~27:51/mile avg pace from distance/duration."
2026-08-28,Walk,95,112,not captured,341,4.8,"5.04 miles, reported pace 18:49/mile (computes to ~18:51/mile from distance/duration — reconciles closely). New metric added this session: exertion_rpe (perceived exertion), backfilled blank for all prior rows since not previously tracked."
2026-08-30,Hill Warm-up,14,111,not captured,84,,
2026-08-30,Strength (Day C),50,117,not captured,257,,"Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv. Broad progression across the board — several exercises hit the top of their prescribed rep range."
2026-08-31,Mixed Cardio,47,136,not captured,355,,"3.16 miles, avg pace ~14:52/mile."
2026-09-01,Yoga Warm-up,18,85,not captured,0,,"First yoga warm-up logged (prior warm-ups have all been hill walks). 0 METs reported — plausible for gentle yoga at a low heart rate, logged as reported."
2026-09-01,Strength (Day A) - Deload,31,106,not captured,41,,"First deload session of the program (see workout-plan.md's Deload section, recommended for the week of 9/1). Per-set detail (26 sets across 9 exercises) logged separately in data/strength-training-log.csv, weights at ~60% of the 8/25 pre-deload session and reps back to the bottom of each range. Much lower MET-minutes (41 vs. the 200-280 range on recent Day A sessions) is expected given the reduced weight and shorter 31-min duration."
2026-09-02,Long Hike,77,110,not captured,not reported,,"3.70 miles, 217m elevation gain, avg pace 21:05/mile. METs not reported for this session."
2026-09-03,Yoga Warm-up,24,80,not captured,0,,"Deload-week yoga warm-up. 0 METs plausible for gentle yoga at a low heart rate, logged as reported."
2026-09-03,Strength (Day B) - Deload,30,105,not captured,68,,"Reported via Welltory: 30 min, avg HR 105, 68 MET-minutes. Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv; all 9 exercises hit or exceeded their deload targets, two (Stability Ball Hip Bridge, Side Plank) done at 3 sets vs. the worksheet's 2, Jackie's own call."
2026-09-04,Walk,63,111,not captured,195,,"3.12 miles, avg pace 20:13/mile (off day per the standing schedule, logged as reported). Duration computed from distance x pace (63.1 min), not separately reported."
2026-09-06,Strength (Day C) - Deload,30,118,not captured,156,,"Last of the week's three deload sessions. Reported as '30 minutes, 156 minutes, heart rate 118' — interpreted the 156 as MET-minutes (a 30-min session can't contain 156 minutes), matching this file's established convention. Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv; every exercise hit its deload target exactly."
2026-09-07,Mixed Cardio,49,133,not captured,347,,"3.55 miles, computes to ~13:48/mile avg pace from distance/duration."
2026-09-08,Indoor Treadmill Warm-up,15,115,not captured,59,,"First indoor-treadmill warm-up logged (prior warm-ups have all been outdoor hill walks or, during deload week, yoga). 0.75 miles (corrected from an initial 2.75 mi transcription), reported pace 20:06/mile — reconciles closely with distance/duration (computes to ~20:00/mile). 'Max 59' interpreted as 59 MET-minutes per this file's established convention (a treadmill warm-up has no separate max-HR column here), consistent with prior hill warm-ups' 14-89 range."
2026-09-08,Strength (Day A),51,118,not captured,305,,"First full working session back from deload, and the first at the new 30 lb dumbbell cap. Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv. Goblet Squat, Romanian Deadlift, Farmer's Carry, and Glute Bridge all moved up to 30 lb per the post-deload worksheet's recommendation, reps reset accordingly. Single-Arm Row (12/side) and Band Face Pull (20 reps, purple band) both hit the top of their ranges — candidates for a weight/band increase next Day A. Plank held a clean repeat at 60 sec standard, clearing the way to reintroduce the shoulder-tap variation next session."
2026-09-09,Long Hike,73,118,not captured,353,,"3.69 miles, reported pace 19:53/mile (computes to ~19:47/mile from distance/duration — reconciles closely)."
2026-09-10,Indoor Treadmill Warm-up,15,114,not captured,43,,"0.68 miles, reported pace 22:30/mile (computes to ~22:03/mile from distance/duration — reconciles closely)."
2026-09-10,Strength (Day B),68,119,not captured,348,,"Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv. Hit every target on the post-deload worksheet, several at the top of range: Sumo Deadlift hit 20/20/20 at the old 25 lb cap (next session moves to 30 lb); Reverse Lunge and Suitcase Carry both landed their first working session at the new 30 lb exactly on target; Stability Ball Hip Bridge broke a two-session plateau at 15 reps, now at 18; Band Face Pull (green band) and Dumbbell Lateral Raise both reached the top of their rep ranges, candidates for a band/weight bump next Day B."
2026-09-11,Walk,28,116,not captured,82,,"1.59 miles, reported pace 17:52/mile (computes to ~17:36/mile from distance/duration — reconciles closely). Light walk."
2026-09-13,Long Hike,95,122,not captured,409,,"4.48 miles, reported pace 21:19/mile (reconciles closely with distance/duration, computes to ~21:12/mile)."
2026-09-13,Indoor Warm-up,16,112,not captured,64,,"0.68 miles."
2026-09-13,Strength (Day C),45,120,not captured,not captured,,"Approximate duration/HR — Jackie forgot to start the tracker for the strength portion, so these figures are self-reported estimates, not device data; METs not available at all for this reason. Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv. First working Day C session back from deload, per the post-deload worksheet (`personal/workout-logs/2026-09-13-day-c-worksheet.html`): Bulgarian Split Squat, Single-Leg Romanian Deadlift, and Dumbbell Incline Press all hit their reset target exactly (12.5 lb x 8/side or 8 reps, up from 10 lb maxed on 8/30). Renegade Row hit 9/side at 10 lb, building within its 6-10/side range as planned. Bird Dog, Dead Bug, and Single-Leg Glute Bridge all done at slow tempo per the worksheet's bodyweight-progression note, each hitting its reset target exactly; Bird Dog and Dead Bug were both extended to 3 sets (worksheet plan lists 2). Dumbbell Overhead Carry stayed at 10 lb (worksheet recommended progressing to 12.5 lb) with distance reduced to 30 ft, so only a partial progression this session. Band Pull-Apart hit 18 reps on the black band, up from 15 last session."
2026-09-14,Run/Walk (mixed cardio),50,135,not captured,367,,"3.50 miles, computes to ~14:17/mile."
2026-09-15,Hill Warm-up,15,114,not captured,57,,"0.66 miles, reported pace 22:24/mile (computes to ~22:44/mile from distance/duration — reconciles closely)."
2026-09-15,Strength (Day A),50,120,not captured,373,,"Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv. Both flagged progressions from the 9/8 worksheet landed exactly as planned: Single-Arm Row moved up to 25 lb (8/side, reps reset to the bottom of range), Band Face Pull moved up to the green band (12 reps, reset). Plank's shoulder-tap variation returned at a clean 60 sec, matching the no-tap version's hold from 9/8. Goblet Squat, Romanian Deadlift, Farmer's Carry, and Glute Bridge all built on reps at their current weights (no ceiling hit yet); Bench Press was much more consistent across sets (12/12/10 at 25 lb) than 9/8's 15/15/8 spread. Single-Leg Balance Reach held at 12.5 lb rather than taking the optional bump to 15 lb, with reps reset to 8/side — Jackie noted the right side is closing the gap with the left but still weaker."
2026-09-17,Long Hike,83,116,not captured,291,,"3.9 miles, reported pace 21:12/mile (computes to ~21:17/mile from distance/duration — reconciles closely)."
2026-09-17,Hill Warm-up,15,111,not captured,43,,"0.7 miles, reported pace 22:42/mile (computes to ~21:26/mile from distance/duration — a larger gap than usual, logged as reported)."
2026-09-17,Strength (Day B),58,118,not captured,249,,"Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv. Both flagged progressions from the 9/10 worksheet landed as planned: Sumo Deadlift moved up to 30 lb (8/8/8, bottom of range), Dumbbell Lateral Raise moved up to 10 lb (8 reps, below the worksheet's 12-rep target — logged as reported). Band Face Pull stayed on green band with a 2-second pause added at the top of each rep (the worksheet's fallback option, since a band heavier than green isn't confirmed on hand). Reverse Lunge, Overhead Press, Bent-Over Row, and Suitcase Carry all built within range at their current weights; Single-Arm Overhead Press hit 12/side at 10 lb, the very top of its 8-12/side range — a candidate for a weight bump next Day B. Stability Ball Hip Bridge hit the 20-rep soft ceiling at 5 lb (up from 18 on 9/10) — unlike Day A's Glute Bridge this isn't at a hard dumbbell cap, so the standard double-progression move applies next Day B: add weight, reps back to the bottom of range. Side Plank hit its target exactly at 55 sec/side. Jackie reported the session as unusually hard despite avg HR (118) and MET-minutes (249) both landing within/near the normal Day B range (112-120 HR, 244-373 MET-min recently) — logged as reported, not something the device metrics flagged as unusual."
2026-09-19,Walk,100,112,not captured,246,,"4.9 miles, reported pace 20:19/mile (computes to ~20:24/mile from distance/duration — reconciles closely)."
2026-09-20,Hill Warm-up,15,118,not captured,64,,"0.71 miles, reported pace 21:24/mile (computes to ~21:08/mile from distance/duration — reconciles closely)."
2026-09-20,Strength (Day C),57,110,not captured,190,,"Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv. Five exercises hit the top of their rep range this session: Single-Leg Romanian Deadlift (10/side at 12.5 lb, top of 8-10/side), Renegade Row (10/side at 10 lb, top of 6-10/side), Bird Dog (10/side, top of 8-10/side), Dead Bug (12/side, top of 10-12/side), Single-Leg Glute Bridge (12/side, top of 10-12/side), and Band Pull-Apart (20 reps on black band, top of 15-20) — six total. Bulgarian Split Squat (10/side) and Dumbbell Incline Press (10 reps) both built within range at 12.5 lb, not yet maxed. Dumbbell Overhead Carry was substituted with a goblet carry (12.5 lb x 30 ft, same numbers as the planned overhead version) due to left shoulder muscle pain reported before the exercise — an acute, session-specific call, not a permanent program change; worth watching whether the shoulder issue persists into the next Day C."
2026-09-21,Run/Walk (mixed cardio),48,137,not captured,335,,"3.39 miles, computes to ~14:10/mile from distance/duration."
2026-09-22,Hill Warm-up,14,135,not captured,86,,"0.69 miles. Reported pace ""1,957 minutes per mile"" is clearly a device glitch, not real — computes to ~20:17/mile from distance/duration, in line with recent hill warm-up paces (21-23 min/mile range). Logged the computed pace, flagged the reported figure as implausible per standing practice."
2026-09-22,Strength (Day A),50,120,not captured,297,,"Per-set detail (27 sets across 9 exercises) logged separately in data/strength-training-log.csv. Jackie reported anterior deltoid irritation this session — see plan note for likely contributing exercises and recommendation. Goblet Squat and Bench Press both hit a clean top-of-range across all three sets (12/12/12), both candidates for a weight bump next Day A but held pending the anterior deltoid check. Single-Leg Balance Reach (10/side at 12.5 lb) and Band Face Pull (15 reps, green band) also topped their ranges. Glute Bridge hit the 20-rep soft ceiling at the 30 lb hard cap, so its next progression lever is tempo/pause, not weight. Single-Arm Row, Romanian Deadlift, and Farmers Carry all built within range, no ceiling hit yet."
2026-09-23,Long Hike,85,109,not captured,213,,"3.88 miles, reported pace 21:58/mile (computes to ~21:55/mile from distance/duration — reconciles closely). Lowest HR (109) and METs (213) of any hike logged; Jackie reported low motivation that day, so an easy effort by choice, not a fitness dip. Followed the 9/22 Day A session with the anterior deltoid irritation."
